time stamp,symbol,name,Last Price,Market Time,Change,%Change,Volume,Avg Vol(3month),Market Cap
Feb-23-2020 23:11:27,GC=F,Gold,"$1,665.10",10:01PM EST,+44.60,+44.60,"98,218",146.51M,-
Feb-23-2020 23:11:27,INTU,Intuit Inc.,$297.57,4:00PM EST,-3.67,-3.67,1.174M,1.224M,77.46B
Feb-23-2020 23:11:27,^N225,Nikkei 225,"$23,386.74",3:15PM JST,-92.46,-92.46,0,"59,944",-
Feb-23-2020 23:11:27,CL=F,Crude Oil,$51.94,10:01PM EST,-1.94,-1.94,"81,331",220.011M,-
Feb-23-2020 23:11:27,^HSI,HANG SENG INDEX,"$26,869.45",10:56AM HKT,-439.36,-439.36,0,1.577B,-
Feb-23-2020 23:11:27,ES=F,E-Mini S&P 500 Mar 20,"$3,286.75",10:01PM EST,-82.50,-82.50,"222,869",385.401M,-
Feb-23-2020 23:11:27,^KLSE,FTSE Bursa Malaysia KLCI,"$1,498.98",11:11AM MYT,-32.22,-32.22,0,96.747M,-
Feb-23-2020 23:11:27,000001.SS,SSE Composite Index,"$3,018.78",10:56AM CST,-20.89,-20.89,2.252B,"228,445",-
Feb-23-2020 23:11:27,BRK-B,Berkshire Hathaway Inc.,$229.33,4:04PM EST,+1.16,+1.16,4.702M,3.651M,560.627B
Feb-23-2020 23:11:27,BTC-USD,Bitcoin USD,"$9,781.16",3:09AM GMT,-137.91,-137.91,42.482B,27.683B,178.351B
Feb-23-2020 23:11:27,^GSPC,S&P 500,"$3,337.75",5:16PM EST,-35.48,-35.48,2.119B,3.58B,-
Feb-23-2020 23:11:27,SI=F,Silver,$18.67,10:01PM EST,+0.35,+0.35,"23,476",33.6M,-
Feb-23-2020 23:11:27,9988.HK,Alibaba Group Holding Limited,$206.000,10:56AM HKT,-6.600,-6.600,13.029M,16.486M,4.421T
Feb-23-2020 23:11:27,GLD,SPDR Gold Shares,$154.70,4:00PM EST,+2.29,+2.29,16.353M,7.447M,40.268B
Feb-23-2020 23:11:27,GILD,"Gilead Sciences, Inc.",$69.70,4:00PM EST,+2.70,+2.70,20.21M,10.189M,88.181B
Feb-23-2020 23:11:27,YM=F,Mini Dow Jones Indus.-$5 Mar 20,"$28,539.00",10:01PM EST,-632.00,-632.00,"39,249",70.522M,-
Feb-23-2020 23:11:27,NQ=F,Nasdaq 100 Mar 20,"$9,259.50",10:01PM EST,-364.75,-364.75,"94,573",141.148M,-
Feb-23-2020 23:11:27,0823.HK,Link Real Estate Investment Trust,$75.250,10:56AM HKT,-1.200,-1.200,2.791M,6.131M,155.19B
Feb-23-2020 23:11:27,1211.HK,BYD Company Limited,$49.800,10:56AM HKT,-3.600,-3.600,8.101M,6.882M,172.16B
Feb-23-2020 23:11:27,BRK-A,Berkshire Hathaway Inc.,"$343,449.00",4:00PM EST,"+1,327.00","+1,327.00",204,246,559.956B
Feb-23-2020 23:11:27,0857.HK,PetroChina Company Limited,$3.250,10:56AM HKT,-0.130,-0.130,132.551M,92.501M,995.897B
Feb-23-2020 23:11:27,^VIX,Vix,$17.08,4:14PM EST,+1.52,+1.52,0,0,-
Feb-23-2020 23:11:27,^IXIC,Nasdaq,"$9,576.59",5:15PM EST,-174.37,-174.37,2.469B,2.323B,-
Feb-23-2020 23:11:27,^AXJO,S&P/ASX 200,"$6,976.20",1:51PM AEDT,-162.80,-162.80,0,"556,953",-
Feb-23-2020 23:11:27,^DJI,Dow 30,"$28,992.41",5:16PM EST,-227.59,-227.59,313.438M,268.695M,-
Feb-23-2020 23:11:27,^KS11,KOSPI Composite Index,"$2,093.74",11:51AM KST,-69.10,-69.10,"584,407","579,158",-
Feb-23-2020 23:11:27,D05.SI,DBS Group Holdings Ltd,$24.93,11:01AM SGT,-0.15,-0.15,2.093M,4.148M,63.833B
Feb-23-2020 23:11:27,^AORD,ALL ORDINARIES,"$7,065.90",1:51PM AEDT,-164.50,-164.50,0,687.42M,-
Feb-23-2020 23:11:27,HMY,Harmony Gold Mining Company Limited,$4.1300,4:03PM EST,+0.4600,+0.4600,15.886M,6.238M,2.217B
