time stamp,symbol,name,Last Price,Market Time,Change,%Change,Volume,Avg Vol(3month),Market Cap
Feb-23-2020 23:07:10,GC=F,Gold,"$1,664.60",9:57PM EST,+44.10,+44.10,"97,644",146.51M,-
Feb-23-2020 23:07:10,INTU,Intuit Inc.,$297.57,4:00PM EST,-3.67,-3.67,1.174M,1.224M,77.46B
Feb-23-2020 23:07:10,^N225,Nikkei 225,"$23,386.74",3:15PM JST,-92.46,-92.46,0,"59,944",-
Feb-23-2020 23:07:10,CL=F,Crude Oil,$51.96,9:57PM EST,-1.92,-1.92,"80,906",220.011M,-
Feb-23-2020 23:07:10,^HSI,HANG SENG INDEX,"$26,887.29",10:52AM HKT,-421.52,-421.52,0,1.577B,-
Feb-23-2020 23:07:10,ES=F,E-Mini S&P 500 Mar 20,"$3,289.50",9:57PM EST,-79.75,-79.75,"217,965",385.401M,-
Feb-23-2020 23:07:10,^KLSE,FTSE Bursa Malaysia KLCI,"$1,501.31",11:07AM MYT,-29.89,-29.89,0,96.747M,-
Feb-23-2020 23:07:10,000001.SS,SSE Composite Index,"$3,018.64",10:52AM CST,-21.03,-21.03,1.803B,"228,445",-
Feb-23-2020 23:07:10,BRK-B,Berkshire Hathaway Inc.,$229.33,4:04PM EST,+1.16,+1.16,4.702M,3.651M,560.627B
Feb-23-2020 23:07:10,BTC-USD,Bitcoin USD,"$9,784.38",3:05AM GMT,-134.68,-134.68,42.377B,27.683B,178.41B
Feb-23-2020 23:07:10,^GSPC,S&P 500,"$3,337.75",5:16PM EST,-35.48,-35.48,2.119B,3.58B,-
Feb-23-2020 23:07:10,SI=F,Silver,$18.67,9:57PM EST,+0.35,+0.35,"23,319",33.6M,-
Feb-23-2020 23:07:10,9988.HK,Alibaba Group Holding Limited,$206.000,10:52AM HKT,-6.600,-6.600,12.773M,16.486M,4.421T
Feb-23-2020 23:07:10,GLD,SPDR Gold Shares,$154.70,4:00PM EST,+2.29,+2.29,16.353M,7.447M,40.268B
Feb-23-2020 23:07:10,GILD,"Gilead Sciences, Inc.",$69.70,4:00PM EST,+2.70,+2.70,20.21M,10.189M,88.181B
Feb-23-2020 23:07:10,YM=F,Mini Dow Jones Indus.-$5 Mar 20,"$28,554.00",9:57PM EST,-617.00,-617.00,"38,244",70.522M,-
Feb-23-2020 23:07:10,NQ=F,Nasdaq 100 Mar 20,"$9,268.25",9:57PM EST,-356.00,-356.00,"92,522",141.148M,-
